ticker,sentiment_score,timestamp,data_point_count,source
TSLA,0.6000000000000001,2022-09-29 23:41:16+00:00,1,X
TSLA,0.0,2022-09-29 23:24:43+00:00,1,X
TSLA,0.018181818181818174,2022-09-29 23:18:08+00:00,1,X
TSLA,0.07916666666666668,2022-09-29 22:40:07+00:00,1,X
TSLA,-0.2,2022-09-29 22:27:05+00:00,1,X
TSLA,0.0,2022-09-29 22:25:53+00:00,1,X
TSLA,-0.375,2022-09-29 22:24:22+00:00,1,X
TSLA,0.0519620811287478,2022-09-29 22:23:54+00:00,1,X
TSLA,0.0,2022-09-29 22:23:28+00:00,1,X
TSLA,-0.6999999999999998,2022-09-29 22:15:01+00:00,1,X
TSLA,0.125,2022-09-29 21:58:00+00:00,1,X
TSLA,0.0,2022-09-29 21:33:05+00:00,1,X
TSLA,-0.390625,2022-09-29 21:11:30+00:00,1,X
TSLA,-0.3,2022-09-29 21:00:25+00:00,1,X
TSLA,0.1,2022-09-29 20:15:41+00:00,1,X
TSLA,0.0,2022-09-29 19:38:29+00:00,1,X
TSLA,0.13333333333333333,2022-09-29 19:36:59+00:00,1,X
TSLA,0.08333333333333333,2022-09-29 19:27:54+00:00,1,X
TSLA,0.0,2022-09-29 19:24:50+00:00,1,X
TSLA,0.2,2022-09-29 19:17:48+00:00,1,X
TSLA,0.13636363636363635,2022-09-29 19:12:32+00:00,1,X
TSLA,0.13636363636363635,2022-09-29 19:10:37+00:00,1,X
TSLA,0.0,2022-09-29 19:08:03+00:00,1,X
TSLA,0.4125,2022-09-29 19:01:22+00:00,1,X
TSLA,0.4000000000000001,2022-09-29 18:48:36+00:00,1,X
TSLA,0.0,2022-09-29 18:46:07+00:00,1,X
TSLA,0.0,2022-09-29 18:43:55+00:00,1,X
TSLA,0.16666666666666666,2022-09-29 18:36:51+00:00,1,X
TSLA,0.0,2022-09-29 18:23:20+00:00,1,X
TSLA,-0.3435185185185185,2022-09-29 18:13:24+00:00,1,X
TSLA,-0.125,2022-09-29 18:10:14+00:00,1,X
TSLA,0.0,2022-09-29 18:05:22+00:00,1,X
TSLA,-0.215625,2022-09-29 18:01:17+00:00,1,X
TSLA,0.0,2022-09-29 17:57:57+00:00,1,X
TSLA,0.10833333333333334,2022-09-29 17:42:24+00:00,1,X
TSLA,0.10972222222222222,2022-09-29 17:41:43+00:00,1,X
TSLA,0.10625,2022-09-29 17:40:44+00:00,1,X
TSLA,0.4,2022-09-29 17:27:23+00:00,1,X
TSLA,1.0,2022-09-29 17:16:23+00:00,1,X
TSLA,0.0,2022-09-29 17:11:40+00:00,1,X
TSLA,1.0,2022-09-29 17:08:22+00:00,1,X
TSLA,0.3111111111111111,2022-09-29 17:06:40+00:00,1,X
TSLA,-0.6,2022-09-29 17:04:23+00:00,1,X
TSLA,-0.3185185185185185,2022-09-29 17:02:49+00:00,1,X
TSLA,0.0625,2022-09-29 16:58:56+00:00,1,X
TSLA,0.29500000000000004,2022-09-29 16:44:48+00:00,1,X
TSLA,0.1,2022-09-29 16:43:49+00:00,1,X
TSLA,0.13636363636363635,2022-09-29 16:33:44+00:00,1,X
TSLA,0.0,2022-09-29 16:08:18+00:00,1,X
TSLA,0.0,2022-09-29 16:07:31+00:00,1,X
TSLA,0.17708333333333331,2022-09-29 16:07:26+00:00,1,X
